Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-384,12.879532,77.591093,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-383,12.879544,77.59114,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B382,12.879534,77.591119,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-58,12.879211,77.591586,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-380,12.879505,77.591031,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-379,12.87952,77.591049,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-59,12.879132,77.59165,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-376,12.879409,77.591374,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-377,12.879164,77.59184,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-375,12.879195,77.591953,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-374,12.879104,77.592159,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-373,12.87914,77.592242,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-342,12.878975,77.592348,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-340,12.878986,77.592381,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-341,12.878952,77.592394,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-345,12.879113,77.5925,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-346,12.879318,77.592338,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-347,12.879472,77.59274,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-348,12.879253,77.592318,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-349,12.879277,77.595297,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-351,12.879502,77.592315,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-352,12.879415,77.59278,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-60,12.879532,77.592787,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-61,12.879507,77.593014,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-62,12.879721,77.59258,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-63,12.879747,77.592351,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-356,12.879617,77.592268,,,,,,,,
Broadcom,BIO center,B101,Bannerugatta road,,,R-64,12.879836,77.592261,,,,,,,,
Broadcom,BIao center,B101,Bannerugatta road,,,R-65,12.879825,77.592353,,,,,,,,
Broadcom,BIO center,B101,Bannerugatta road,,,R-66,12.880025,77.592431,,,,,,,,
Broadcom,BIO center,B101,Bannerugatta road,,,B-360,12.880026,77.592411,,,,,,,,
Broadcom,BIO Center,B101,Bannerugatta road,,,B-361,12.880107,77.592407,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-12,12.911193,77.641197,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-14,12.911824,77.640633,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-15,12.907902,77.640698,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-18,12.906451,77.639343,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-19,12.911048,77.639841,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-22,12.911588,77.639774,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-23,12.911435,77.639678,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-21,12.911342,77.639748,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-20,12.911768,77.639743,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-17,12.911552,77.640397,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-30,12.911279,77.640809,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-60,12.911485,77.641018,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli zone,,,PW-32,12.911298,77.640898,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-20,12.911435,77.639995,,,,,,,,
Mphasis,Ugrappa Park/Swabimana park,15,Bommanahalli zone,,,PW-13,12.911462,77.641266,,,,,,,,
