SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses
127,Mphasis,Mangala Convention Centre Surrounding,12.93834739,77.61068929,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,4,Mar-24,South zone,,Police Campus
128,Mphasis,"3 and 4th Battlion,KSRP",12.92186386,77.62522723,https://maps.app.goo.gl/xsssq14nStERTyt29,100,Mar-24,Bommanahalli Zone,,Police Campus
129,Mphasis,Lakshmidevi park,12.92845157,77.63366309,https://maps.app.goo.gl/zKpYy7AePmTqxSLu9,15,Mar-24,South zone,,BBMP Park
130,Mphasis,Eco Park,12.93883234,77.62518367,https://maps.app.goo.gl/Asrc5jftCH5QoHZt6,9,Mar-24,South zone,,BBMP Park
131,Mphasis,"9th Battlion,KSRP",12.88557587,77.67183229,https://maps.app.goo.gl/44AjRLLbhxPwwAjYA,133,Mar-24,Bommanahalli Zone,,Police Campus
132,Mphasis,Training centre dairy circle,12.93647481,77.60056509,https://maps.app.goo.gl/2HbAuwzBZArrqSLb9,25,Mar-24,South zone,,Schools and Colleges
133,Mphasis,SFHS Badavane park,12.91546915,77.60216706,https://maps.app.goo.gl/9KRSjuZWpHLuPsnb6,5,Mar-24,South zone,,BBMP Park
134,Mphasis,Vishweshwaraiah Park,12.91223853,77.61350456,https://maps.app.goo.gl/hhjm2d5b6QERybQZA,5,Mar-24,South zone,,BBMP Park
135,Broadcom,Police Training School Campus,13.07701774,77.62576647,https://maps.app.goo.gl/ZthZRamGD7gQHuo56,30,Mar-24,Yelahanka Zone,,Police Campus
136,Broadcom,Central Reserve Police Force Campus,13.12371253,77.57402539,https://maps.app.goo.gl/T5QpVDYZKEt6PkTF9,200,Mar-24,Yelahanka Zone,,Defence Campus
137,Broadcom,Central Reserve Police Force Campus,13.12371253,77.57402539,https://maps.app.goo.gl/T5QpVDYZKEt6PkTF9,59,Mar-24,Yelahanka Zone,,Defence Campus
